	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
0	{7364: 28}	{76802: 28}	{113255: 28}													
1	{113255: 28}															
2	{7364: 28}	{113255: 28}														
3	{19075: 21}	{74864: 21}	{78678: 21}													
4	{7364: 21}	{55826: 21}	{70996: 21}													
5	{7364: 21}	{55826: 21}	{70996: 21}													
6	{7364: 21}	{55826: 21}	{70996: 21}													
7	{70996: 21}	{76802: 21}	{113255: 21}													
8	{7364: 28}	{55826: 28}	{76802: 28}	{113255: 28}												
9	{7364: 28}	{55826: 28}	{76802: 28}	{113255: 28}												
10	{4460: 28}	{7364: 28}	{55826: 28}	{76802: 28}	{113255: 28}											
11	{4460: 28}	{7364: 28}	{55826: 28}	{113255: 28}												
12	{44275: 15}															
13	{76802: 28}															
14	{7364: 14}	{55826: 7}	{70996: 7}													
15	{7364: 14}	{55826: 14}														
16	{7364: 14}	{55826: 14}														
17	{7364: 7}	{55826: 28}	{70996: 14}													
18	{70996: 7}	{113255: 14}														
19	{17696: 14}	{27584: 7}	{92793: 7}	{100581: 14}												
20	{17696: 14}	{27584: 7}	{92793: 7}	{100581: 14}												
21	{76802: 7}	{113255: 7}														
22	{76802: 7}	{113255: 7}														
23	{76802: 7}	{113255: 7}														
24	{76802: 7}	{113255: 7}														
25	{76802: 7}	{113255: 7}														
26	{76802: 7}	{113255: 7}														
27	{76802: 7}	{113255: 7}														
28	{873: 7}	{5608: 7}	{113255: 7}													
29	{873: 14}	{7364: 14}														
30	{873: 14}	{4460: 14}	{7364: 14}													
31	{7364: 7}															
32	{55826: 7}	{70996: 7}														
33	{55826: 7}	{70996: 7}														
34	{55826: 7}	{70996: 7}														
35	{873: 7}	{5608: 7}	{113255: 7}													
36	{7364: 7}															
37	{113255: 14}															
38	{873: 14}	{4460: 14}	{7364: 14}													
39	{873: 14}	{4460: 14}	{7364: 14}													
40	{55826: 7}	{70996: 7}														
41	{70996: 7}															
42	{7364: 14}	{76802: 7}														
43	{55826: 14}															
44	{55826: 14}	{113255: 7}														
45	{70996: 14}															
46	{70996: 14}	{113255: 14}														
47	{7364: 14}	{76802: 7}														
48	{55826: 14}															
49	{55826: 14}	{113255: 7}														
50	{70996: 14}															
51	{70996: 14}	{113255: 14}														
52	{55826: 14}															
53	{7364: 14}	{76802: 7}														
54	{55826: 14}	{113255: 7}														
55	{70996: 14}															
56	{70996: 14}	{113255: 14}														
57	{7364: 14}	{76802: 7}														
58	{55826: 14}															
59	{55826: 14}	{113255: 7}														
60	{70996: 14}															
61	{76802: 7}	{113255: 7}														
62	{55826: 7}	{70996: 7}														
63	{55826: 7}	{70996: 7}														
64	{113255: 14}															
65	{55826: 7}	{70996: 7}														
66	{55826: 7}	{70996: 7}														
67	{55826: 7}															
68	{7364: 14}	{113255: 14}														
69	{55826: 7}	{76802: 7}														
70	{76802: 7}															
71	{55826: 1}															
72	{76802: 1}															
73	{55826: 1}	{76802: 1}														
74	{76802: 28}	{113255: 28}														
75	{76802: 28}	{113255: 28}														
76	{76802: 28}	{113255: 28}														
77	{76802: 28}	{113255: 28}														
78	{76802: 28}	{113255: 28}														
79	{7364: 14}	{55826: 14}	{70996: 14}													
80	{7364: 14}	{70996: 28}														
81	{7364: 7}	{55826: 7}														
82	{55826: 7}	{76802: 7}														
83	{55826: 14}	{76802: 7}														
84	{7364: 7}	{55826: 14}	{70996: 7}													
85	{70996: 14}															
86	{55826: 28}	{70996: 28}														
87	{7364: 7}															
88	{76802: 28}	{113255: 28}														
89	{55826: 28}	{70996: 28}														
90	{7364: 14}	{113255: 14}														
91	{7364: 14}															
92	{7364: 21}															
93	{7364: 14}	{70996: 14}														
94	{55826: 28}	{76802: 14}	{113255: 14}													
95	{7364: 14}	{70996: 28}														
96	{7364: 14}	{55826: 14}	{70996: 28}													
97	{76802: 28}	{113255: 28}														
98	{55826: 28}	{70996: 14}														
99	{76802: 28}	{113255: 28}														
100	{76802: 28}	{113255: 28}														
101	{55826: 14}															
102	{70996: 28}															
103	{76802: 7}	{113255: 7}														
104	{55826: 7}	{76802: 7}														
105	{70996: 14}															
106	{55826: 28}															
107	{76802: 14}															
108	{70996: 28}															
109	{7364: 28}															
110	{70996: 28}															
111	{7364: 28}	{55826: 28}														
112	{76802: 14}															
113	{55826: 28}	{70996: 28}														
114	{55826: 28}	{70996: 28}														
